Feature,Mean |SHAP|,Std |SHAP|
proto_vmtp,0.0,0.0
service_aol,0.0,0.0
proto_visa,0.0,0.0
service_auth,0.0,0.0
proto_trunk-1,0.0,0.0
service_bgp,0.0,0.0
service_courier,0.0,0.0
proto_wb-expak,0.0,0.0
service_radius,0.0,0.0
service_red_i,0.0,0.0
service_remote_job,0.0,0.0
service_rje,0.0,0.0
service_shell,0.0,0.0
service_snmp,0.0,0.0
service_ssl,0.0,0.0
service_supdup,0.0,0.0
service_systat,0.0,0.0
service_tftp_u,0.0,0.0
proto_tp++,0.0,0.0
service_time,0.0,0.0
service_urh_i,0.0,0.0
service_urp_i,0.0,0.0
service_uucp_path,0.0,0.0
service_vmnet,0.0,0.0
service_whois,0.0,0.0
state_ECO,0.0,0.0
state_RST,0.0,0.0
state_OTH,0.0,0.0
state_PAR,0.0,0.0
service_tim_i,0.0,0.0
service_gopher,0.0,0.0
service_harvest,0.0,0.0
service_hostnames,0.0,0.0
service_http_2784,0.0,0.0
service_http_443,0.0,0.0
service_http_8001,0.0,0.0
service_irc,0.0,0.0
service_klogin,0.0,0.0
service_kshell,0.0,0.0
service_ldap,0.0,0.0
service_printer,0.0,0.0
service_login,0.0,0.0
service_mtp,0.0,0.0
service_name,0.0,0.0
service_netbios_dgm,0.0,0.0
service_netbios_ns,0.0,0.0
service_netbios_ssn,0.0,0.0
service_netstat,0.0,0.0
service_nntp,0.0,0.0
service_ntp_u,0.0,0.0
service_pm_dump,0.0,0.0
service_pop_2,0.0,0.0
service_link,0.0,0.0
proto_eigrp,0.0,0.0
proto_emcon,0.0,0.0
proto_encap,0.0,0.0
proto_etherip,0.0,0.0
proto_fc,0.0,0.0
proto_fire,0.0,0.0
proto_ggp,0.0,0.0
proto_gmtp,0.0,0.0
proto_gre,0.0,0.0
proto_hmp,0.0,0.0
proto_i-nlsp,0.0,0.0
proto_iatp,0.0,0.0
proto_ib,0.0,0.0
state_RSTOS0,0.0,0.0
proto_idrp,0.0,0.0
proto_ifmp,0.0,0.0
proto_igmp,0.0,0.0
proto_igp,0.0,0.0
proto_il,0.0,0.0
proto_ip,0.0,0.0
proto_ipcomp,0.0,0.0
proto_ipcv,0.0,0.0
proto_ipip,0.0,0.0
proto_iplt,0.0,0.0
proto_ipnip,0.0,0.0
proto_ippc,0.0,0.0
proto_ipv6,0.0,0.0
proto_ipv6-frag,0.0,0.0
proto_idpr,0.0,0.0
state_S2,0.0,0.0
state_S3,0.0,0.0
state_SH,0.0,0.0
state_URN,0.0,0.0
state_no,0.0,0.0
proto_3pc,0.0,0.0
proto_a/n,0.0,0.0
proto_aes-sp3-d,0.0,0.0
proto_any,0.0,0.0
proto_argus,0.0,0.0
proto_aris,0.0,0.0
proto_arp,0.0,0.0
proto_ax.25,0.0,0.0
proto_egp,0.0,0.0
proto_bna,0.0,0.0
proto_br-sat-mon,0.0,0.0
proto_cbt,0.0,0.0
proto_cftp,0.0,0.0
proto_chaos,0.0,0.0
proto_compaq-peer,0.0,0.0
proto_cphb,0.0,0.0
proto_cpnx,0.0,0.0
proto_crtp,0.0,0.0
proto_crudp,0.0,0.0
proto_dcn,0.0,0.0
proto_ddp,0.0,0.0
proto_ddx,0.0,0.0
proto_dgp,0.0,0.0
proto_bbn-rcc,0.0,0.0
proto_pup,0.0,0.0
proto_pvp,0.0,0.0
proto_qnx,0.0,0.0
proto_rdp,0.0,0.0
proto_rsvp,0.0,0.0
proto_rtp,0.0,0.0
proto_rvd,0.0,0.0
proto_sat-expak,0.0,0.0
proto_sat-mon,0.0,0.0
proto_sccopmce,0.0,0.0
proto_scps,0.0,0.0
proto_sctp,0.0,0.0
proto_sdrp,0.0,0.0
proto_ipv6-no,0.0,0.0
proto_sep,0.0,0.0
proto_skip,0.0,0.0
proto_sm,0.0,0.0
proto_smp,0.0,0.0
proto_snp,0.0,0.0
proto_sprite-rpc,0.0,0.0
proto_sps,0.0,0.0
proto_srp,0.0,0.0
proto_st2,0.0,0.0
proto_stp,0.0,0.0
proto_sun-nd,0.0,0.0
proto_swipe,0.0,0.0
proto_tcf,0.0,0.0
proto_tlsp,0.0,0.0
proto_secure-vmtp,0.0,0.0
proto_ipv6-opts,0.0,0.0
proto_ipv6-route,0.0,0.0
proto_ipx-n-ip,0.0,0.0
proto_irtp,0.0,0.0
proto_isis,0.0,0.0
proto_iso-ip,0.0,0.0
proto_iso-tp4,0.0,0.0
proto_kryptolan,0.0,0.0
proto_l2tp,0.0,0.0
proto_larp,0.0,0.0
proto_leaf-1,0.0,0.0
proto_leaf-2,0.0,0.0
proto_merit-inp,0.0,0.0
proto_mfe-nsp,0.0,0.0
proto_ptp,0.0,0.0
proto_micp,0.0,0.0
proto_mobile,0.0,0.0
proto_mtp,0.0,0.0
proto_mux,0.0,0.0
proto_narp,0.0,0.0
proto_netblt,0.0,0.0
proto_nsfnet-igp,0.0,0.0
proto_nvp,0.0,0.0
proto_pgm,0.0,0.0
proto_pim,0.0,0.0
proto_pipe,0.0,0.0
proto_pnni,0.0,0.0
proto_pri-enc,0.0,0.0
proto_prm,0.0,0.0
proto_mhrp,0.0,0.0
